HT14			rows = 658
-5	-0.5598	0.00858	850000	-0.0029
-4	-0.4481	0.00774	850000	-0.0024
-3	-0.3361	0.00698	850000	-0.0019
-2	-0.2243	0.00621	850000	-0.0014
-1	-0.1	0.0055	850000	-0.0036
0	0.0001	0.00593	850000	-0
1	0.1002	0.0055	850000	0.0036
2	0.2245	0.00621	850000	0.0014
3	0.3363	0.00698	850000	0.0019
4	0.4484	0.00774	850000	0.0024
5	0.5601	0.00859	850000	0.0029
6	0.6709	0.00962	850000	0.0034
7	0.7802	0.01096	850000	0.0041
8	0.8873	0.01272	850000	0.0049
9	0.9921	0.01481	850000	0.0059
10	1.0915	0.01776	850000	0.0071
11	1.1802	0.02226	850000	0.0088
12	1.259	0.0274	850000	0.0106
13	1.3098	0.035	850000	0.0121
14	1.2434	0.06617	850000	-0.0132
15	1.0661	0.11719	850000	-0.043
-5	-0.56	0.00847	900000	-0.0028
-4	-0.4483	0.00762	900000	-0.0023
-3	-0.3361	0.00688	900000	-0.0019
-2	-0.2242	0.00613	900000	-0.0014
-1	-0.1022	0.00551	900000	-0.0029
0	0.0001	0.00597	900000	-0
1	0.1024	0.00551	900000	0.0029
2	0.2245	0.00613	900000	0.0014
3	0.3364	0.00689	900000	0.0019
4	0.4485	0.00763	900000	0.0023
5	0.5603	0.00848	900000	0.0028
6	0.6712	0.00948	900000	0.0034
7	0.7807	0.01077	900000	0.004
8	0.888	0.0125	900000	0.0048
9	0.9928	0.01456	900000	0.0057
10	1.0931	0.01733	900000	0.007
11	1.1838	0.0215	900000	0.0086
12	1.2655	0.02624	900000	0.0103
13	1.3161	0.03408	900000	0.012
14	1.2623	0.06238	900000	-0.0107
15	1.1104	0.10812	900000	-0.0379
-5	-0.5602	0.00835	950000	-0.0028
-4	-0.4484	0.00752	950000	-0.0023
-3	-0.3361	0.0068	950000	-0.0018
-2	-0.2241	0.00607	950000	-0.0014
-1	-0.1046	0.00553	950000	-0.0022
0	0.0001	0.00599	950000	-0
1	0.1048	0.00553	950000	0.0022
2	0.2244	0.00607	950000	0.0014
3	0.3364	0.0068	950000	0.0018
4	0.4486	0.00753	950000	0.0023
5	0.5605	0.00835	950000	0.0028
6	0.6714	0.00937	950000	0.0033
7	0.781	0.01061	950000	0.0039
8	0.8886	0.01225	950000	0.0047
9	0.993	0.01451	950000	0.0057
10	1.0938	0.01711	950000	0.0069
11	1.1868	0.02084	950000	0.0084
12	1.2708	0.02527	950000	0.0101
13	1.3024	0.03582	950000	0.0118
14	1.239	0.06684	950000	-0.0141
15	1.1415	0.10197	950000	-0.0345
-5	-0.5604	0.00822	1000000	-0.0027
-4	-0.4484	0.00743	1000000	-0.0023
-3	-0.3361	0.00672	1000000	-0.0018
-2	-0.224	0.00599	1000000	-0.0014
-1	-0.1065	0.00557	1000000	-0.0016
0	0.0001	0.006	1000000	-0
1	0.1068	0.00557	1000000	0.0016
2	0.2243	0.00599	1000000	0.0014
3	0.3364	0.00672	1000000	0.0018
4	0.4487	0.00743	1000000	0.0023
5	0.5607	0.00822	1000000	0.0027
6	0.6716	0.00926	1000000	0.0032
7	0.7814	0.01047	1000000	0.0039
8	0.8892	0.01204	1000000	0.0046
9	0.994	0.01419	1000000	0.0056
10	1.0936	0.01715	1000000	0.0068
12	1.2738	0.02469	1000000	0.0099
13	1.319	0.03365	1000000	0.0119
14	1.2662	0.06201	1000000	-0.0108
15	1.1305	0.10394	1000000	-0.0358
-5	-0.5608	0.00801	1100000	-0.0027
-4	-0.4486	0.00727	1100000	-0.0022
-3	-0.3362	0.00656	1100000	-0.0018
-2	-0.2239	0.00586	1100000	-0.0013
-1	-0.109	0.00565	1100000	-0.0009
0	0.0001	0.00603	1100000	-0
1	0.1092	0.00564	1100000	0.0009
2	0.2242	0.00587	1100000	0.0013
3	0.3365	0.00656	1100000	0.0018
4	0.4489	0.00727	1100000	0.0022
5	0.5611	0.00801	1100000	0.0027
6	0.6722	0.00901	1100000	0.0032
7	0.7819	0.01025	1100000	0.0038
8	0.8903	0.01168	1100000	0.0045
9	0.9957	0.01367	1100000	0.0054
10	1.0968	0.01632	1100000	0.0066
11	1.1939	0.01923	1100000	0.008
12	1.2728	0.02483	1100000	0.0099
13	1.3395	0.0308	1100000	0.0117
14	1.3294	0.04687	1100000	0.0035
15	1.152	0.10043	1100000	-0.0339
-5	-0.5611	0.00783	1200000	-0.0026
-4	-0.4488	0.0071	1200000	-0.0022
-3	-0.3363	0.00642	1200000	-0.0017
-2	-0.2238	0.00576	1200000	-0.0013
-1	-0.1104	0.0057	1200000	-0.0005
0	0.0001	0.00603	1200000	-0
1	0.1107	0.0057	1200000	0.0005
2	0.2241	0.00576	1200000	0.0013
3	0.3365	0.00642	1200000	0.0017
4	0.4491	0.0071	1200000	0.0021
5	0.5614	0.00783	1200000	0.0026
6	0.6726	0.00881	1200000	0.0031
7	0.7826	0.01001	1200000	0.0037
8	0.8911	0.0114	1200000	0.0044
9	0.997	0.01325	1200000	0.0053
10	1.0991	0.0157	1200000	0.0064
11	1.1968	0.01855	1200000	0.0077
13	1.3535	0.02873	1200000	0.0114
14	1.3787	0.03814	1200000	0.0127
15	1.1905	0.09374	1200000	-0.0299
-5	-0.5614	0.00768	1300000	-0.0025
-4	-0.449	0.00695	1300000	-0.0021
-3	-0.3363	0.00631	1300000	-0.0017
-2	-0.2238	0.00565	1300000	-0.0013
-1	-0.1113	0.00575	1300000	-0.0003
0	0.0001	0.00603	1300000	-0
1	0.1115	0.00575	1300000	0.0003
2	0.224	0.00566	1300000	0.0013
3	0.3366	0.00631	1300000	0.0017
4	0.4493	0.00695	1300000	0.0021
5	0.5616	0.00768	1300000	0.0025
6	0.673	0.00864	1300000	0.003
7	0.7831	0.00979	1300000	0.0036
8	0.8917	0.01117	1300000	0.0043
9	0.9981	0.01291	1300000	0.0051
10	1.101	0.01519	1300000	0.0062
11	1.1965	0.01862	1300000	0.0077
12	1.2874	0.0221	1300000	0.0092
13	1.3646	0.02699	1300000	0.0111
14	1.4105	0.03464	1300000	0.0128
15	1.2411	0.0849	1300000	-0.0245
-5	-0.5616	0.00756	1400000	-0.0025
-4	-0.4492	0.00682	1400000	-0.0021
-3	-0.3363	0.00621	1400000	-0.0017
-2	-0.2232	0.00557	1400000	-0.0014
-1	-0.1118	0.00579	1400000	-0.0002
0	0.0001	0.00601	1400000	-0
1	0.1121	0.00579	1400000	0.0002
2	0.2236	0.00558	1400000	0.0013
3	0.3366	0.00621	1400000	0.0017
4	0.4495	0.00682	1400000	0.0021
5	0.5619	0.00756	1400000	0.0025
6	0.6733	0.00851	1400000	0.0029
7	0.7836	0.0096	1400000	0.0035
8	0.8922	0.011	1400000	0.0042
9	0.999	0.01264	1400000	0.005
10	1.1026	0.01476	1400000	0.0061
11	1.1993	0.01797	1400000	0.0075
12	1.2922	0.02116	1400000	0.009
13	1.3733	0.02556	1400000	0.0108
14	1.4208	0.03332	1400000	0.0128
15	1.3083	0.07302	1400000	-0.0171
-5	-0.5618	0.00745	1500000	-0.0024
-4	-0.4493	0.00671	1500000	-0.002
-3	-0.3364	0.00612	1500000	-0.0016
-2	-0.2186	0.0055	1500000	-0.0024
-1	-0.1122	0.00582	1500000	-0.0001
0	0.0001	0.006	1500000	-0
1	0.1125	0.00582	1500000	0.0001
2	0.219	0.0055	1500000	0.0023
