NACA0012			rows = 658
7	0.8224	0.01137	850000	-0.0085
8	0.9043	0.01272	850000	-0.003
9	0.9887	0.01408	850000	0.0019
10	1.0734	0.01578	850000	0.0064
11	1.1486	0.01862	850000	0.0116
12	1.2286	0.02077	850000	0.0156
13	1.2873	0.02376	850000	0.0221
14	1.3182	0.02848	850000	0.0294
15	1.283	0.04162	850000	0.0318
-5	-0.5634	0.00871	900000	-0.0006
-4	-0.4293	0.00748	900000	-0.0058
-3	-0.3185	0.00653	900000	-0.0054
-1	-0.1069	0.00556	900000	-0.0016
0	0	0.00547	900000	-0
1	0.1069	0.00556	900000	0.0016
2	0.2131	0.00592	900000	0.0034
3	0.3185	0.00653	900000	0.0054
4	0.4294	0.00748	900000	0.0058
5	0.5635	0.00871	900000	0.0006
6	0.7022	0.01004	900000	-0.0059
7	0.8241	0.01122	900000	-0.0089
8	0.9059	0.01256	900000	-0.0033
9	0.9898	0.01395	900000	0.0017
10	1.0765	0.01544	900000	0.0059
11	1.1543	0.01806	900000	0.0108
12	1.2351	0.02018	900000	0.0148
13	1.2978	0.02304	900000	0.0208
14	1.3192	0.02834	900000	0.0293
15	1.3105	0.03853	900000	0.0321
-5	-0.5589	0.00858	950000	-0.0015
-4	-0.4276	0.00738	950000	-0.0061
-2	-0.2139	0.00585	950000	-0.0031
-1	-0.1071	0.00552	950000	-0.0015
0	-0	0.00542	950000	0
1	0.1071	0.00552	950000	0.0015
2	0.2139	0.00585	950000	0.0031
4	0.4276	0.00738	950000	0.0061
5	0.5589	0.00858	950000	0.0015
6	0.6972	0.00988	950000	-0.0049
7	0.8257	0.0111	950000	-0.0092
8	0.9083	0.01233	950000	-0.0038
9	0.9903	0.01388	950000	0.0016
10	1.079	0.01515	950000	0.0055
11	1.1591	0.01757	950000	0.0101
12	1.2409	0.01966	950000	0.014
13	1.3057	0.02252	950000	0.0197
14	1.3108	0.02897	950000	0.0298
15	1.334	0.03599	950000	0.0321
-5	-0.5547	0.00846	1000000	-0.0024
-4	-0.4278	0.00728	1000000	-0.006
-3	-0.3199	0.00639	1000000	-0.0048
-2	-0.2144	0.00579	1000000	-0.0029
-1	-0.1075	0.0055	1000000	-0.0014
0	-0	0.00538	1000000	0
1	0.1075	0.0055	1000000	0.0014
2	0.2144	0.00579	1000000	0.0029
3	0.3199	0.00639	1000000	0.0048
4	0.4278	0.00728	1000000	0.006
5	0.5547	0.00846	1000000	0.0024
6	0.6929	0.00973	1000000	-0.004
7	0.8272	0.01099	1000000	-0.0095
8	0.9105	0.01213	1000000	-0.0042
9	0.993	0.0136	1000000	0.0011
10	1.0812	0.0149	1000000	0.0051
11	1.1632	0.01715	1000000	0.0095
12	1.246	0.01919	1000000	0.0133
13	1.3103	0.0222	1000000	0.0191
14	1.3143	0.02866	1000000	0.0296
15	1.3542	0.0339	1000000	0.0319
-5	-0.5476	0.00826	1100000	-0.0039
-4	-0.4268	0.00712	1100000	-0.006
-3	-0.3215	0.00628	1100000	-0.0043
-2	-0.2155	0.00572	1100000	-0.0026
-1	-0.108	0.00542	1100000	-0.0012
0	0	0.00534	1100000	-0
1	0.108	0.00542	1100000	0.0012
2	0.2155	0.00572	1100000	0.0026
3	0.3215	0.00628	1100000	0.0043
4	0.4268	0.00712	1100000	0.006
6	0.6857	0.00947	1100000	-0.0024
7	0.822	0.01073	1100000	-0.0084
8	0.9143	0.01179	1100000	-0.0049
9	0.9977	0.01313	1100000	0.0003
10	1.0845	0.01452	1100000	0.0046
11	1.1698	0.01646	1100000	0.0086
12	1.2542	0.01843	1100000	0.0122
13	1.3089	0.02223	1100000	0.0193
14	1.3444	0.02631	1100000	0.0273
15	1.3875	0.03075	1100000	0.0311
-5	-0.5443	0.00806	1200000	-0.0045
-4	-0.4279	0.00699	1200000	-0.0056
-3	-0.3229	0.00617	1200000	-0.0038
-2	-0.2164	0.00565	1200000	-0.0022
-1	-0.1085	0.00537	1200000	-0.001
0	0	0.00531	1200000	-0
1	0.1085	0.00537	1200000	0.001
2	0.2164	0.00565	1200000	0.0022
3	0.3229	0.00617	1200000	0.0038
4	0.4279	0.00699	1200000	0.0056
5	0.5443	0.00806	1200000	0.0045
6	0.6792	0.00925	1200000	-0.001
7	0.8148	0.01045	1200000	-0.0068
8	0.9176	0.01151	1200000	-0.0055
9	1.0014	0.01275	1200000	-0.0004
10	1.0863	0.0143	1200000	0.0043
11	1.1751	0.0159	1200000	0.0078
12	1.2599	0.01788	1200000	0.0114
13	1.3142	0.02185	1200000	0.0185
14	1.3685	0.02458	1200000	0.0251
15	1.4135	0.02854	1200000	0.0299
-5	-0.5412	0.0079	1300000	-0.0051
-4	-0.4287	0.00688	1300000	-0.0053
-3	-0.3241	0.00611	1300000	-0.0034
-2	-0.2172	0.00559	1300000	-0.002
-1	-0.109	0.00535	1300000	-0.0009
0	0	0.00525	1300000	-0
2	0.2172	0.00559	1300000	0.002
3	0.3241	0.00611	1300000	0.0034
4	0.4287	0.00688	1300000	0.0052
5	0.5413	0.0079	1300000	0.0051
6	0.6735	0.00905	1300000	0.0002
7	0.8086	0.01021	1300000	-0.0054
8	0.9205	0.01127	1300000	-0.0061
9	1.0046	0.01244	1300000	-0.0009
10	1.0876	0.01415	1300000	0.0041
11	1.1794	0.01544	1300000	0.0071
12	1.263	0.01757	1300000	0.0109
13	1.3283	0.02079	1300000	0.0168
14	1.3877	0.02329	1300000	0.0231
15	1.4341	0.02688	1300000	0.0287
-5	-0.5386	0.00777	1400000	-0.0056
-4	-0.43	0.0068	1400000	-0.0048
-3	-0.3252	0.00604	1400000	-0.003
-2	-0.2181	0.00556	1400000	-0.0017
-1	-0.1093	0.0053	1400000	-0.0008
0	-0	0.00525	1400000	0
1	0.1093	0.0053	1400000	0.0008
3	0.3252	0.00604	1400000	0.003
4	0.43	0.0068	1400000	0.0048
5	0.5387	0.00777	1400000	0.0056
6	0.6684	0.00888	1400000	0.0013
7	0.8035	0.01	1400000	-0.0043
8	0.923	0.01108	1400000	-0.0066
9	1.0074	0.01218	1400000	-0.0014
10	1.0913	0.01376	1400000	0.0035
